"","Date","Age","Treatment","PlateID","Well","Family","Family_EBV","Count","AUC","AUC.cor","AUC.cor.norm"
"135",20260320,"72hpf","32C","plate_2_high","B10",5,"High",112,1341.61666666667,1137.24318181818,10.1539569805195
"136",20260320,"72hpf","32C","plate_2_high","B11",8,"High",76,1348.15833333333,1143.78484848485,15.0498006379585
"137",20260320,"72hpf","32C","plate_2_high","B12",3,"High",54,1811.35,1606.97651515152,29.7588243546577
"138",20260320,"72hpf","32C","plate_2_high","C1",54,"Low",52,533.941666666667,329.568181818182,6.33784965034965
"139",20260320,"72hpf","32C","plate_2_high","C2",55,"Low",38,343.9,139.526515151515,3.67175039872409
"140",20260320,"72hpf","32C","plate_2_high","C3",56,"Low",119,1057.55,853.176515151515,7.16955054749173
"141",20260320,"72hpf","32C","plate_2_high","C4",57,"Low",34,342.116666666667,137.743181818182,4.05127005347594
"142",20260320,"72hpf","32C","plate_2_high","C5",53,"Low",39,440.791666666667,236.418181818182,6.06200466200466
"143",20260320,"72hpf","32C","plate_2_high","C6",52,"Low",48,490.141666666667,285.768181818182,5.95350378787879
"144",20260320,"72hpf","32C","plate_2_high","C7",1,"High",165,1481.23333333333,1276.85984848485,7.73854453627181
"145",20260320,"72hpf","32C","plate_2_high","C8",4,"High",36,492.25,287.876515151515,7.99656986531987
"146",20260320,"72hpf","32C","plate_2_high","C9",6,"High",60,796.075,591.701515151515,9.86169191919192
"147",20260320,"72hpf","32C","plate_2_high","C10",5,"High",121,1505.15833333333,1300.78484848485,10.750288004007
"148",20260320,"72hpf","32C","plate_2_high","C11",8,"High",90,1783.26666666667,1578.89318181818,17.5432575757576
"149",20260320,"72hpf","32C","plate_2_high","C12",3,"High",59,2651.8,2447.42651515151,41.4818053415511
"150",20260320,"72hpf","32C","plate_2_high","D1",54,"Low",77,768.983333333333,564.609848484848,7.33259543486816
"151",20260320,"72hpf","32C","plate_2_high","D2",55,"Low",26,329.433333333333,125.059848484849,4.80999417249418
"152",20260320,"72hpf","32C","plate_2_high","D3",56,"Low",87,769.433333333334,565.059848484849,6.49494078718217
"153",20260320,"72hpf","32C","plate_2_high","D4",57,"Low",54,507.775,303.401515151515,5.61854657687991
"154",20260320,"72hpf","32C","plate_2_high","D5",53,"Low",57,695.116666666667,490.743181818182,8.60952950558214
"155",20260320,"72hpf","32C","plate_2_high","D6",52,"Low",68,921.866666666667,717.493181818182,10.5513703208556
"156",20260320,"72hpf","32C","plate_2_high","D7",1,"High",156,2235.95,2031.57651515151,13.0229263791764
"157",20260320,"72hpf","32C","plate_2_high","D8",4,"High",28,1802.24166666667,1597.86818181818,57.0667207792208
"158",20260320,"72hpf","32C","plate_2_high","D9",6,"High",73,988.575,784.201515151515,10.7424865089249
"159",20260320,"72hpf","32C","plate_2_high","D10",5,"High",90,1415.88333333333,1211.50984848485,13.4612205387205
"160",20260320,"72hpf","32C","plate_2_high","D11",8,"High",62,1738.76666666667,1534.39318181818,24.7482771260997
"161",20260320,"72hpf","32C","plate_2_high","E1",54,"Low",134,1257.34166666667,1052.96818181818,7.85797150610583
"162",20260320,"72hpf","32C","plate_2_high","E2",55,"Low",45,460.916666666667,256.543181818182,5.7009595959596
"163",20260320,"72hpf","32C","plate_2_high","E3",56,"Low",128,1213.20833333333,1008.83484848485,7.88152225378788
"164",20260320,"72hpf","32C","plate_2_high","E5",53,"Low",88,921.116666666667,716.743181818182,8.14480888429752
"165",20260320,"72hpf","32C","plate_2_high","E6",52,"Low",73,761.141666666667,556.768181818182,7.62696139476961
"166",20260320,"72hpf","32C","plate_2_high","E7",1,"High",168,1578.13333333333,1373.75984848485,8.17714195526696
"167",20260320,"72hpf","32C","plate_2_high","E8",4,"High",49,729.05,524.676515151515,10.707683982684
"168",20260320,"72hpf","32C","plate_2_high","E10",5,"High",106,1663.81666666667,1459.44318181818,13.7683319039451
"169",20260320,"72hpf","32C","plate_2_high","E11",8,"High",72,1911.65,1707.27651515152,23.7121738215488
"170",20260320,"72hpf","32C","plate_2_high","F1",54,"Low",27,415.583333333333,211.209848484848,7.82258698092031
"171",20260320,"72hpf","32C","plate_2_high","F2",55,"Low",19,333.883333333333,129.509848484848,6.81630781499203
"172",20260320,"72hpf","32C","plate_2_high","F3",56,"Low",62,589.083333333333,384.709848484849,6.20499755620723
"173",20260320,"72hpf","32C","plate_2_high","F4",57,"Low",67,639.85,435.476515151515,6.49964947987336
"174",20260320,"72hpf","32C","plate_2_high","F6",52,"Low",65,658.966666666667,454.593181818182,6.99374125874126
"175",20260320,"72hpf","32C","plate_2_high","F7",1,"High",130,1115.31666666667,910.943181818182,7.00725524475525
"176",20260320,"72hpf","32C","plate_2_high","F8",4,"High",41,630.7,426.326515151515,10.3982076866223
"177",20260320,"72hpf","32C","plate_2_high","F10",5,"High",109,1539.54166666667,1335.16818181818,12.2492493744787
"178",20260320,"72hpf","32C","plate_2_high","F11",8,"High",51,1594.425,1390.05151515152,27.2559120617944
"179",20260320,"72hpf","32C","plate_2_high","G1",54,"Low",17,295.025,90.6515151515152,5.33244206773619
"180",20260320,"72hpf","32C","plate_2_high","G3",56,"Low",9,256.583333333333,52.2098484848485,5.80109427609427
"181",20260320,"72hpf","32C","plate_2_high","G6",52,"Low",85,834.358333333333,629.984848484848,7.41158645276292
"182",20260320,"72hpf","32C","plate_2_high","G7",1,"High",127,1183.55833333333,979.184848484849,7.71011691720353
"183",20260320,"72hpf","32C","plate_2_high","G8",4,"High",52,702.525,498.151515151515,9.57983682983683
"184",20260320,"72hpf","32C","plate_2_high","G9",6,"High",57,896.566666666667,692.193181818182,12.1437400318979
"185",20260320,"72hpf","32C","plate_2_high","G12",3,"High",54,2391.3,2186.92651515152,40.4986391694725
"186",20260320,"72hpf","26C","plate_2_low","A1",54,"Low",24,409.566666666667,184.278125,7.67825520833334
"187",20260320,"72hpf","26C","plate_2_low","A2",55,"Low",80,744.275,518.986458333333,6.48733072916667
