"","Treatment","Age","Well","Family","gain","Date","PlateID","Type","Count","AUC","AUC.BlankShell","AUC.cor","Family_EBV","Dry.Weight","AUC.cor.norm"
"146","34C","111dpf","A12",58,65,20260706,"T0_34C_65g","Sample",NA,58647.675,3917.9375,54729.7375,"Low",0.01172,4669772.82423208
"147","34C","111dpf","A2",5,65,20260706,"T0_34C_65g","Sample",NA,53255.8166666667,3917.9375,49337.8791666667,"High",0.0173,2851900.52986513
"148","34C","111dpf","A3",7,65,20260706,"T0_34C_65g","Sample",NA,121607.458333333,3917.9375,117689.520833333,"High",0.02568,4582925.26609553
"149","34C","111dpf","A4",15,65,20260706,"T0_34C_65g","Sample",NA,69990.6583333333,3917.9375,66072.7208333333,"High",0.02655,2488614.72065286
"150","34C","111dpf","A5",17,65,20260706,"T0_34C_65g","Sample",NA,34012.9833333333,3917.9375,30095.0458333333,"High",0.03502,859367.385303636
"151","34C","111dpf","A6",18,65,20260706,"T0_34C_65g","Sample",NA,27301.0916666667,3917.9375,23383.1541666667,"High",0.03129,747304.383722169
"152","34C","111dpf","A7",49,65,20260706,"T0_34C_65g","Sample",NA,117188.641666667,3917.9375,113270.704166667,"Low",0.02807,4035294.05652535
"153","34C","111dpf","A8",53,65,20260706,"T0_34C_65g","Sample",NA,112243.716666667,3917.9375,108325.779166667,"Low",0.0304,3563347.99890351
"154","34C","111dpf","A9",54,65,20260706,"T0_34C_65g","Sample",NA,58027.6083333333,3917.9375,54109.6708333333,"Low",0.02649,2042645.18057128
"155","34C","111dpf","B1",2,65,20260706,"T0_34C_65g","Sample",NA,116904.5,3917.9375,112986.5625,"High",0.04147,2724537.31613214
"156","34C","111dpf","B10",55,65,20260706,"T0_34C_65g","Sample",NA,36457.5166666667,3917.9375,32539.5791666667,"Low",0.01312,2480150.85111789
"157","34C","111dpf","B11",56,65,20260706,"T0_34C_65g","Sample",NA,61881.2833333333,3917.9375,57963.3458333333,"Low",0.01733,3344682.39084439
"158","34C","111dpf","B12",58,65,20260706,"T0_34C_65g","Sample",NA,35132.1666666667,3917.9375,31214.2291666667,"Low",0.01402,2226407.21588207
"159","34C","111dpf","B2",5,65,20260706,"T0_34C_65g","Sample",NA,59578.6,3917.9375,55660.6625,"High",0.01404,3964434.65099715
"160","34C","111dpf","B4",15,65,20260706,"T0_34C_65g","Sample",NA,41943.1166666667,3917.9375,38025.1791666667,"High",0.03204,1186803.34477736
"161","34C","111dpf","B5",17,65,20260706,"T0_34C_65g","Sample",NA,50691.1666666667,3917.9375,46773.2291666667,"High",0.03256,1436524.23730549
"162","34C","111dpf","B6",18,65,20260706,"T0_34C_65g","Sample",NA,140157.975,3917.9375,136240.0375,"High",0.03982,3421397.22501256
"163","34C","111dpf","B7",49,65,20260706,"T0_34C_65g","Sample",NA,78370.775,3917.9375,74452.8375,"Low",0.0246,3026538.1097561
"164","34C","111dpf","B8",53,65,20260706,"T0_34C_65g","Sample",NA,62491.475,3917.9375,58573.5375,"Low",0.01291,4537067.19597211
"165","34C","111dpf","B9",54,65,20260706,"T0_34C_65g","Sample",NA,68756.4583333333,3917.9375,64838.5208333333,"Low",0.02226,2912781.70859539
"166","34C","111dpf","C1",2,65,20260706,"T0_34C_65g","Sample",NA,105861.958333333,3917.9375,101944.020833333,"High",0.03688,2764208.80784526
"167","34C","111dpf","C10",55,65,20260706,"T0_34C_65g","Sample",NA,46902.7083333333,3917.9375,42984.7708333333,"Low",0.01412,3044247.22615675
"168","34C","111dpf","C11",56,65,20260706,"T0_34C_65g","Sample",NA,31661.4916666667,3917.9375,27743.5541666667,"Low",0.0226,1227590.89233038
"169","34C","111dpf","C12",58,65,20260706,"T0_34C_65g","Sample",NA,50279.525,3917.9375,46361.5875,"Low",0.01929,2403400.0777605
"170","34C","111dpf","C2",5,65,20260706,"T0_34C_65g","Sample",NA,44828.8916666667,3917.9375,40910.9541666667,"High",0.01827,2239242.15471629
"171","34C","111dpf","C3",7,65,20260706,"T0_34C_65g","Sample",NA,99981.5333333333,3917.9375,96063.5958333333,"High",0.03793,2532654.78073644
"172","34C","111dpf","C4",15,65,20260706,"T0_34C_65g","Sample",NA,18268.9,3917.9375,14350.9625,"High",0.03127,458937.080268628
"173","34C","111dpf","C5",17,65,20260706,"T0_34C_65g","Sample",NA,108029.341666667,3917.9375,104111.404166667,"High",0.03093,3366033.11240435
"174","34C","111dpf","C6",18,65,20260706,"T0_34C_65g","Sample",NA,167171.25,3917.9375,163253.3125,"High",0.03828,4264715.58254963
"175","34C","111dpf","C7",49,65,20260706,"T0_34C_65g","Sample",NA,63855.05,3917.9375,59937.1125,"Low",0.01836,3264548.61111111
"176","34C","111dpf","C8",53,65,20260706,"T0_34C_65g","Sample",NA,45516,3917.9375,41598.0625,"Low",0.02118,1964025.61378659
"177","34C","111dpf","C9",54,65,20260706,"T0_34C_65g","Sample",NA,22301.4416666667,3917.9375,18383.5041666667,"Low",0.01958,938891.939053456
