"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain","PlateID"
"116","C","8","1230","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C8",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"117","C","9","1456","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C9",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"118","C","10","1323","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C10",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"119","C","11","1345","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C11",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"120","C","12","1461","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","C12",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"121","D","1","1535","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D1",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"122","D","2","1443","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D2",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"123","D","3","1325","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D3",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"124","D","4","1463","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D4",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"125","D","5","1228","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D5",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"126","D","6","1467","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D6",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"127","D","7","1223","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D7",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"128","D","8","1265","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D8",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"129","D","9","1353","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D9",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"130","D","10","1520","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D10",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"131","D","11","1379","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D11",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"132","D","12","1390","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","D12",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"133","E","1","1478","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","E1",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"134","E","2","1450","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","E2",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"135","E","3","1413","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","E3",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"136","E","4","1577","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","E4",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"137","E","5","1277","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","E5",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"138","E","6","1453","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","E6",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"139","E","7","1308","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","E7",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"140","E","8","1245","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","E8",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
"141","E","9","1364","NIFA_Resazurin_30_T0_02072026_1104_g70","T0","NIFA_Resazurin_30_T0_02072026_1104_g70","E9",2026-07-02 11:04:00,20260702,70,"T0_30C_70g"
