"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain"
"114","D","4","4813","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","D4",NA,20260710,60
"115","D","5","6380","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","D5",NA,20260710,60
"116","D","6","7491","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","D6",NA,20260710,60
"117","D","7","2904","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","D7",NA,20260710,60
"118","D","9","3910","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","D9",NA,20260710,60
"119","D","10","4226","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","D10",NA,20260710,60
"120","D","11","13043","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","D11",NA,20260710,60
"121","E","1","7158","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E1",NA,20260710,60
"122","E","2","3725","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E2",NA,20260710,60
"123","E","3","3649","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E3",NA,20260710,60
"124","E","4","1478","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E4",NA,20260710,60
"125","E","5","4652","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E5",NA,20260710,60
"126","E","6","5803","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E6",NA,20260710,60
"127","E","7","1503","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E7",NA,20260710,60
"128","E","8","2694","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E8",NA,20260710,60
"129","E","9","4449","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E9",NA,20260710,60
"130","E","10","3419","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E10",NA,20260710,60
"131","E","11","6405","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E11",NA,20260710,60
"132","E","12","2971","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","E12",NA,20260710,60
"133","F","1","3494","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F1",NA,20260710,60
"134","F","2","2282","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F2",NA,20260710,60
"135","F","3","4461","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F3",NA,20260710,60
"136","F","4","1119","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F4",NA,20260710,60
"137","F","5","3204","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F5",NA,20260710,60
"138","F","6","1128","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F6",NA,20260710,60
"139","F","7","4907","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F7",NA,20260710,60
"140","F","8","388","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F8",NA,20260710,60
"141","F","9","3825","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F9",NA,20260710,60
"142","F","10","3332","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F10",NA,20260710,60
"143","F","11","3937","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F11",NA,20260710,60
"144","F","12","3189","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","F12",NA,20260710,60
"145","G","1","406","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G1",NA,20260710,60
"146","G","2","357","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G2",NA,20260710,60
"147","G","3","332","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G3",NA,20260710,60
"148","G","4","316","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G4",NA,20260710,60
"149","G","5","332","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G5",NA,20260710,60
"150","G","6","373","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G6",NA,20260710,60
"151","G","7","438","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G7",NA,20260710,60
"152","G","8","383","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G8",NA,20260710,60
"153","G","9","376","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G9",NA,20260710,60
"154","G","10","377","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G10",NA,20260710,60
"155","G","11","367","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G11",NA,20260710,60
"156","G","12","419","NIFA_Resazurin_38_T1_20260710_1313_g60","T1","NIFA_Resazurin_38_T1_20260710_1313_g60","G12",NA,20260710,60
"157","A","1","9051","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A1",NA,20260710,60
"158","A","2","2933","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A2",NA,20260710,60
"159","A","3","4451","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A3",NA,20260710,60
"160","A","4","3695","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A4",NA,20260710,60
"161","A","5","2703","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A5",NA,20260710,60
"162","A","6","4291","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A6",NA,20260710,60
"163","A","7","6873","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A7",NA,20260710,60
"164","A","8","3541","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A8",NA,20260710,60
"165","A","9","14480","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A9",NA,20260710,60
"166","A","10","5921","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A10",NA,20260710,60
"167","A","11","7317","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A11",NA,20260710,60
"168","A","12","5551","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","A12",NA,20260710,60
"169","B","1","10086","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B1",NA,20260710,60
"170","B","2","5599","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B2",NA,20260710,60
"171","B","3","2757","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B3",NA,20260710,60
"172","B","4","2237","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B4",NA,20260710,60
"173","B","5","1393","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B5",NA,20260710,60
"174","B","6","2304","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B6",NA,20260710,60
"175","B","7","7721","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B7",NA,20260710,60
"176","B","8","1911","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B8",NA,20260710,60
"177","B","9","5254","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B9",NA,20260710,60
"178","B","10","698","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B10",NA,20260710,60
"179","B","11","6077","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B11",NA,20260710,60
"180","B","12","702","NIFA_Resazurin_38_T2_20260710_1421_g60","T2","NIFA_Resazurin_38_T2_20260710_1421_g60","B12",NA,20260710,60
